pv,dv,hard,policy,stand,hit,split,double
17,9,False,HIT-DOUBLE DOWN-STAND,-4.569815628669703,-0.2014385554174575,,-0.6401934696974314
17,8,False,HIT-DOUBLE DOWN-STAND,-2.0896247090767477,-0.31784459868845416,,-0.633489824820347
17,11,False,HIT-DOUBLE DOWN-STAND,-4.181608689357432,-0.927044807887058,,-2.9926825729202515
17,7,False,HIT-DOUBLE DOWN-STAND,-0.19329785047011486,0.25492317296709954,,0.06356227942071019
18,7,True,STAND-SPLIT-HIT,5.596372745182979,-7.10189810768283,0.948972719022757,-37.80133441752355
18,4,True,STAND-SPLIT-HIT,3.068913366739101,-7.31323296597906,0.5111063238459435,-33.4262607946788
18,8,True,STAND-SPLIT-HIT,1.5880201776206815,-6.89216069022947,-0.0819510039176749,-33.67557781296699
18,6,True,STAND-SPLIT-HIT,3.300149840004657,-6.627974319218446,0.8707061074584976,-37.33516701257093
18,3,False,STAND-DOUBLE DOWN-HIT,2.11933782959174,0.16224055003326868,0.0,1.445105899105561
18,3,True,STAND-SPLIT-HIT,1.5015264757339668,-7.127033618312127,0.046150056887863375,-36.426098829398086
18,10,True,SPLIT-STAND-HIT,-3.0152284682578396,-7.366404082976019,-0.6435937514463005,-35.78159154905835
18,10,False,SPLIT-HIT-STAND,-2.1495969925028415,-0.5557435315904627,0.0,-2.8904620325134047
18,11,True,SPLIT-STAND-HIT,-5.187676232017502,-7.0499025740314245,-0.9313756199959133,-34.58402858702262
18,9,True,SPLIT-STAND-HIT,-2.1296776339891124,-7.361741168086771,0.12539220112192093,-36.16058682755456
18,2,True,STAND-SPLIT-HIT,3.137101962738486,-7.14487760177466,0.19130528573398828,-35.53712216636204
18,11,False,SPLIT-HIT-STAND,-2.9426547481412095,-0.9395074781090079,0.0,-10.4875452500753
18,6,False,STAND-HIT-SPLIT,4.410883411093424,0.6002462819772405,0.0,-0.3327202644686698
18,9,False,SPLIT-HIT-STAND,-0.9684695525378544,-0.1638385276470002,0.0,-4.705480845925685
18,5,True,STAND-SPLIT-HIT,3.195027113224953,-6.874587749688571,0.4604566837948577,-32.70256653628423
18,7,False,STAND-HIT-SPLIT,3.850844125686713,0.7265093092701461,0.0,-0.5027536927353572
18,4,False,STAND-DOUBLE DOWN-HIT,1.6538827251667183,0.7535957492990825,0.0,1.5284376918623481
18,5,False,STAND-DOUBLE DOWN-HIT,2.6450750260607045,0.9239303449941434,0.0,2.604492285123467
18,8,False,STAND-HIT-SPLIT,1.3322439927381864,0.3899971854554074,0.0,-1.9043314719545466
18,2,False,DOUBLE DOWN-STAND-HIT,2.402442152648107,0.42899746192904215,0.0,3.665514011179433
19,2,True,STAND-HIT-DOUBLE DOWN,5.482309847200296,-8.155274141701602,,-40.85821078403845
19,10,True,STAND-HIT-DOUBLE DOWN,0.1563030942114486,-7.8923673530397815,,-39.73158253700641
19,9,True,STAND-HIT-DOUBLE DOWN,4.331324847805195,-7.530399299097467,,-39.43733070683994
19,7,True,STAND-HIT-DOUBLE DOWN,8.653086155592446,-7.812998418089975,,-40.58051101019087
19,5,False,STAND-DOUBLE DOWN-HIT,7.698672159373033,0.9551194348537082,,2.7241515303930592
19,5,True,STAND-HIT-DOUBLE DOWN,6.032046292124073,-7.923817786604328,,-41.77625054836974
19,11,True,STAND-HIT-DOUBLE DOWN,-1.7690446071270263,-8.51969461792584,,-39.260206851655965
19,8,False,STAND-DOUBLE DOWN-HIT,9.687759583834655,0.5393098955393089,,1.60455824614235
19,3,True,STAND-HIT-DOUBLE DOWN,5.578529555924405,-7.915819746716008,,-41.05846550210433
19,4,True,STAND-HIT-DOUBLE DOWN,5.455881628540047,-8.083539652787799,,-42.47140941286931
19,11,False,HIT-STAND-DOUBLE DOWN,-2.7528479749846655,-0.5667038403105594,,-10.701459423143744
19,8,True,STAND-HIT-DOUBLE DOWN,9.208108808841851,-7.848643800966072,,-38.21026080312505
19,6,False,STAND-DOUBLE DOWN-HIT,8.594378430954638,1.1409585967618503,,8.153252464745643
19,6,True,STAND-HIT-DOUBLE DOWN,6.908715253279658,-7.438407597097954,,-36.030029902082845
19,3,False,STAND-HIT-DOUBLE DOWN,5.105277509819234,0.8951861096395849,,-1.1292300400115807
19,10,False,HIT-STAND-DOUBLE DOWN,-0.35296158274847045,-0.3028759364621022,,-3.202347469960623
19,7,False,STAND-DOUBLE DOWN-HIT,8.283595681928784,1.25266970815052,,3.4943623932924393
19,9,False,STAND-HIT-DOUBLE DOWN,5.596757349785229,0.2827241606174485,,0.0333145010663326
19,4,False,STAND-HIT-DOUBLE DOWN,5.765600522357004,0.7004991103279236,,-0.48809885568949984
19,2,False,STAND-DOUBLE DOWN-HIT,5.518535936956055,1.3123333167731273,,5.016602498016726
20,4,False,STAND-DOUBLE DOWN-HIT,9.927754844506048,1.2358832379558051,0.0,8.230710819607676
20,4,True,STAND-SPLIT-HIT,9.304827779964603,-8.248629287781549,1.0349998489424894,-44.14834964926019
20,7,True,STAND-SPLIT-HIT,10.847247788329685,-8.958867789231451,1.505472243703108,-43.53233727975471
20,3,True,STAND-SPLIT-HIT,9.249016262386712,-8.941278701324242,1.276289325691852,-45.52171014697149
20,10,True,STAND-SPLIT-HIT,6.311298571441796,-8.993735853070472,0.021690395706184553,-43.54314574397041
20,8,False,STAND-DOUBLE DOWN-HIT,11.220868452886272,0.8710489365931641,0.0,2.4055199696973695
